0	0	0
255	255	255
128	128	128
112	128	144
192	192	192
215	215	215
248	248	255
255	250	250
255	0	0
0	0	255
255	246	0
0	255	0
255	127	0
139	0	255
227	66	52
205	92	92
138	51	36
61	43	31
150	75	0
123	63	0
112	66	20
184	115	51
237	145	33
210	105	30
128	70	27
228	183	57
205	127	50
183	65	14
233	116	81
255	204	0
242	133	0
255	191	0
251	206	177
226	114	91
255	229	180
255	140	105
255	127	80
181	166	66
204	119	34
207	181	59
195	176	145
210	180	140
245	245	220
255	255	240
238	220	130
251	236	93
255	215	0
244	196	48
255	250	205
127	255	0
191	255	0
0	168	107
34	139	34
120	134	107
11	218	81
128	128	0
46	139	87
80	200	120
172	225	175
64	130	109
0	128	128
127	255	212
0	255	255
0	127	255
0	123	167
48	213	200
0	71	171
100	149	237
21	96	189
70	130	180
95	158	160
176	224	230
240	255	240
0	49	83
65	105	225
0	191	255
8	37	103
0	0	128
18	10	143
102	0	153
75	0	130
153	102	204
181	126	220
221	160	221
200	162	200
224	176	255
255	192	203
204	136	153
255	0	127
222	49	99
255	0	255
229	43	80
227	38	54
255	0	255
196	30	58
144	0	32
150	0	24
128	0	0
220	20	60
255	36	0

